Campaign Name;Date
Double-Double Campaign;01/01/2020
Payday Sale;25/01/2020
Double-Double Campaign;02/02/2020
Payday Sale;25/02/2020
Double-Double Campaign;03/03/2020
Payday Sale;25/03/2020
Double-Double Campaign;03/04/2020
Payday Sale;25/04/2020
Lebaran Sale;05/05/2020
Double-Double Campaign;06/06/2020
Payday Sale;25/06/2020
Double-Double Campaign;07/07/2020
Payday Sale;25/07/2020
Double-Double Campaign;08/08/2020
Merdeka Sale;17/08/2020
Payday Sale;25/08/2020
Double-Double Campaign;09/09/2020
Payday Sale;25/09/2020
Double-Double Campaign;10/10/2020
Payday Sale;25/10/2020
Double-Double Campaign;11/11/2020
Payday Sale;25/11/2020
Double-Double Campaign;12/12/2020
Payday Sale;28/12/2020
Double-Double Campaign;01/01/2021
Payday Sale;25/01/2021
Double-Double Campaign;02/02/2021
Payday Sale;25/02/2021
Double-Double Campaign;03/03/2021
Payday Sale;25/03/2021
New Year;01/01/2020
May day;01/05/2020
Eid;23/05/2020
Christmas;05/12/2020
New Year;01/01/2021
